"id","TITLE","AUTHOR","ACCESSION NO.","CALL NUMBER","DATE ACQUIRED","SUMMARY","KEYWORDS","General_Category","Sub_Category","cover_image_url","Like","Dislike","date_added","status"
"0","100 fantastic facts","mckie, anne","1519kh","KH030.M211o 1994",,"'100 fantastic facts' by anne mckie is captivating book that presents collection of intriguing and enlightening facts across various subjects. designed to engage curious minds, it offers readers delightful exploration of the world's wonders, from scientific phenomena to historical trivia and cultural insights. each fact is presented in an accessible and entertaining manner, making it perfect for readers of all ages who love to learn new and fascinating information.","facts, exploration, science, history, culture","Non-Fiction",,"assets/Non-Fiction.png","48","12","0000-00-00","available"
"1","100 things you should know about the human body","parker, steve","864181pl","PL 612 P2230 2009",,"100 things you should know about the human body by steve parker is an informative exploration into the complexities of the human body. it presents fascinating facts and insights into various aspects of human anatomy and physiology, making it accessible and engaging for readers. the book is filled with illustrations and easy-to-understand explanations that cover everything from the functions of vital organs to the intricacies of bodily systems.","Human anatomy, physiology, vital organs, bodily systems, illustrations","Non-Fiction",,"assets/Non-Fiction.png","38","14","0000-00-00","available"
"2","1000 and",,"888190pl","PL032.02 On2q 2013","17/04/2015","1000 and is comprehensive reference book that addresses wide array of questions across various subjects. it serves as an informative guide for readers seeking quick answers and insights into topics ranging from science and history to everyday life. the book is structured to provide succinct, factual responses, making it practical resource for inquisitive minds.","Reference, Questions, Science, History, Insights","Non-Fiction",,"assets/Non-Fiction.png","24","17","0000-00-00","available"
"3","1000 stories you can use",,"4360kh","KH899.2103 M588o","6-Jun-97","1000 stories you can use is comprehensive collection of anecdotes, parables, and short tales designed to inspire, educate, and entertain. the book serves as valuable resource for speakers, writers, and educators seeking to enrich their presentations and lessons with impactful storytelling. each story is carefully curated to convey moral lessons, humor, or motivational insights, making it versatile tool for various contexts.","Anecdotes, Parables, Storytelling, Inspiration, Motivation","Non-Fiction",,"assets/Non-Fiction.png","17","11","0000-00-00","available"
"4","1000 stories you can use","mihalic, frank","4361kh","KH899.2103 M588o","6-Jun-97","1000 stories you can use by frank mihalic is collection of engaging anecdotes, parables, and tales designed to inspire, entertain, and provide valuable life lessons. the book serves as resource for speakers, educators, and anyone looking to enrich their storytelling repertoire with meaningful and thought-provoking narratives that can be adapted for various audiences and occasions.","anecdotes, parables, storytelling, inspiration, life lessons","Non-Fiction",,"assets/Non-Fiction.png","30","15","0000-00-00","available"
"5","1001 images of cars","bureau, jerome","1520kh","KH388.342 B898o 1993",,"1001 images of cars by jerome bureau offers captivating visual journey through the history of automobiles, showcasing diverse collection of iconic and classic cars. the book presents high-quality images that highlight the design, innovation, and cultural impact of cars over the decades, making it must-have for car enthusiasts and collectors.","cars, history, design, innovation, classic","Non-Fiction",,"assets/Non-Fiction.png","48","18","0000-00-00","available"
"6","1001 images of dogs",,"1521kh","KH599.7444e On2 1992","4/6/1997","1001 images of dogs is visually captivating collection that showcases the charm and diversity of dogs through rich array of photographs. each image captures unique moments, expressions, and the distinct personalities of various breeds, offering heartfelt tribute to man's best friend. this book is delightful journey for dog lovers and photography enthusiasts alike, celebrating the beauty and companionship of dogs.","dogs, photography, breeds, expressions, companionship","Art & Media",,"assets/Art & Media.png","28","17","0000-00-00","available"
"7","101 and a: cars, planes, ships trains",,"3852kh","KH500 On2 1995",,"101 and a: cars, planes, ships trains is an informative book that explores fascinating questions and answers about various modes of transportation. it delves into the mechanics, history, and technological advancements of cars, planes, ships, and trains, providing readers with engaging insights and fun facts about these vehicles.","transportation, mechanics, history, technology, vehicles","Non-Fiction",,"assets/Non-Fiction.png","32","20","0000-00-00","available"
"8","101 and a: how things work",,"3851kh","KH500 On2 1995",,"101 and a: how things work explores the fascinating mechanics behind everyday objects and phenomena. through series of engaging questions and detailed answers, the book demystifies the science and technology that underpin the world around us, making complex concepts accessible and interesting for readers of all ages.","science, technology, mechanics, everyday objects, phenomena","Science",,"assets/Science.png","20","17","0000-00-00","available"
"9","101 and a: out planet earth",,"3850kh","KH500 On2 1995",,"101 and a: our planet earth is an informative book that delves into various aspects of earth's environment, geography, and natural phenomena. it provides clear and concise answers to common questions about our planet, making it an excellent resource for curious minds seeking to understand the world around them. the book covers topics ranging from ecosystems and climate change to geological formations and the water cycle.","Environment, Geography, Ecosystems, Climate Change, Geological Formations","Non-Fiction",,"assets/Non-Fiction.png","20","17","0000-00-00","available"
"10","101 and a: the world of dinosaurs",,"3848kh","KH500 On2 1995",,"101 and a: the world of dinosaurs offers an engaging exploration into the lives of dinosaurs, answering common questions about their existence, behavior, and extinction. the book serves as an educational resource, providing insights into paleontological discoveries and theories, making it accessible for readers of all ages.","dinosaurs, paleontology, extinction, behavior, discoveries","Science",,"assets/Science.png","33","16","0000-00-00","available"
"11","101 and a: the world of science",,"3849kh","KH500 On2 1995",,"'101 and a: the world of science' is an informative book that addresses wide range of scientific questions and curiosities. it provides clear and concise answers to common and intriguing scientific inquiries, making complex concepts accessible to readers of all ages. the book covers various scientific disciplines, offering insights into the natural world and the principles governing it.","science, inquiries, natural world, principles, disciplines","Science",,"assets/Science.png","45","17","0000-00-00","available"
"12","101 sewing secrets",,"591906pl","KH646.2044 On2 1989",,"101 sewing secrets is comprehensive guide designed to enhance the skills of both novice and experienced sewers. the book reveals insider tips, tricks, and techniques to improve sewing efficiency and craftsmanship. with detailed instructions and illustrations, readers learn how to tackle common sewing challenges, select the right materials, and refine their sewing projects for professional results.","Sewing, Techniques, Craftsmanship, Tips, Materials","Art & Media",,"assets/Art & Media.png","49","15","0000-00-00","available"
