No.,TITLE,AUTHOR,ACCESSION NO.,CALL NUMBER,DATE ACQUIRED,Summary,Keywords,General_Category,Sub_Category,Like,Dislike
0,Abot mo ba ang tainga mo?,"Abad, Heidi Emily",759489/759478pl,KH899.2113 Ab13a 2001,21-Nov-03 & 25-Oct-04,"""Abot mo ba ang tainga mo?"" is a children's book that explores themes of self-discovery and acceptance. Through playful illustrations and engaging storytelling, the book encourages young readers to embrace their unique features and celebrate individuality. The narrative follows a curious child as they embark on a journey of understanding and appreciating their own body, ultimately teaching the importance of self-love and confidence.","self-discovery, acceptance, individuality, body positivity, children's book",Children,Children'S Literature,5,19
1,Accountability and performance,"Tantuico, Francisco Jr",716333/716928pl,Kh685.3128 T159a 1994,16-Nov-01,"""Accountability and Performance"" by Francisco Jr. Tantuico explores the intricate relationship between accountability mechanisms and performance outcomes in public sector organizations. The book delves into the challenges and strategies of implementing effective accountability frameworks to enhance organizational efficiency and service delivery. It emphasizes the importance of transparency, ethical standards, and performance metrics in fostering responsible governance.","accountability, performance, public sector, governance, transparency",Business & Career,Non-Fiction,8,19
2,"Agaw-dilim, Agaw-Liwanag","Abreu, Lualhati M.",870661 pl,PL324.599 075 Ab86a 2009,15-Mar-11,,,Fiction,,10,8
3,"Agrarian reform, cooperatives and taxation","Aralar, Reynaldo",798006 pl,Pl346.599044 Ar12a2004,8-May-06,"""Agrarian Reform, Cooperatives and Taxation"" by Reynaldo Aralar delves into the complex interplay between land reform policies, the role of agricultural cooperatives, and the impact of taxation on the agricultural sector. The book examines how these elements can be harmonized to promote equitable land distribution, enhance productivity, and improve the livelihoods of rural communities. Through case studies and policy analysis, Aralar provides insights into the challenges and opportunities faced in implementing effective agrarian reform.","agrarian reform, cooperatives, taxation, land distribution, rural development",Non-Fiction,Non-Fiction,19,18
4,Aguinaldo's breakfast,"Ocampo, Ambeth",600845 pl,KH899.2104 Oc1a 1993,,"""Aguinaldo's Breakfast"" by Ambeth Ocampo is a collection of essays that delve into Philippine history with a focus on lesser-known anecdotes and facts. Ocampo presents historical narratives in an engaging and accessible manner, often uncovering surprising details about prominent figures and events. Through his witty and insightful commentary, the book provides readers with a deeper understanding of the complexities and nuances of Philippine history.","Philippine history, essays, anecdotes, historical figures, Ambeth Ocampo",History,Non-Fiction,20,14
5,Ang aking prince charming,"Barrios, Joi",536784 pl,KHFic B276a 1994,,"""Ang Aking Prince Charming"" by Joi Barrios is a romantic story that follows the journey of a young woman as she navigates the complexities of love and self-discovery. Set in the Philippines, the protagonist dreams of finding her perfect prince charming, but learns valuable lessons about love, identity, and the true meaning of happiness along the way.","romance, self-discovery, Philippines, love, happiness",Fiction,Romance,13,17
6,Mga alamat at kuwentong Bayan,"Nem Singh, Alfredo C.",880486 pl,PL398.209 599 N34a 2010,24-Sep-13,"""Mga alamat at kuwentong Bayan"" by Nem Singh and Alfredo C. is a collection of traditional Filipino myths and folklore. The book explores various tales passed down through generations, capturing the rich cultural heritage and storytelling traditions of the Philippines. These stories often convey moral lessons, reflect societal values, and explain natural phenomena through imaginative narratives.","folklore, myths, Filipino, culture, tradition",Fiction,Folklore,20,20
7,Alpabetong Filipino,"Tiongson, Nicanor G.",885055 pl,PL 499.2111 T498a 2013,17-Apr-15,"""Alpabetong Filipino"" by Nicanor G. Tiongson explores the evolution and significance of the Filipino alphabet in the context of cultural identity and national history. The book delves into the linguistic, historical, and cultural aspects of the Filipino language, providing insights into how the alphabet has shaped and been shaped by Filipino society over time.","Filipino, alphabet, language, culture, history",Children,Non-Fiction,7,5
8,All this was Bataan,"Tagarao, Silvestre",604749/604738pl,KH959.9131 B31t1991,13-May-99,,,History,,11,8
9,America's Dim Male Points,"Corpuz, Victor N.",860354pl,KH355.020905 C817a 2008,10-Dec,,,Fiction,,20,13
